enzyme	logFC	logCPM	PValue	FDR	association
4.2.1.11	0.430604027	10.84608615	0.008601569	0.022688333	Not associated
4.2.1.113	1.847700649	7.736463059	0.001507301	0.005968419	soil
4.2.1.12	-0.937526518	10.43929841	9.52E-07	1.89E-05	Not associated
4.2.1.126	-0.853585246	7.720458302	0.09339496	0.157918137	Not associated
4.2.1.129	-1.418329904	5.723155021	0.130190612	0.204595235	Not associated
4.2.1.140	-1.180950415	0.470254956	0.686624319	0.77145257	Not associated
4.2.1.147	0.313433289	4.387023242	0.692168759	0.775311099	Not associated
4.2.1.151	-3.680962913	4.744449008	0.002110056	0.007683788	root
4.2.1.17	-0.138216738	12.31230249	0.346249134	0.450657592	Not associated
4.2.1.18	-1.204623511	7.573613903	0.01247835	0.030651364	Not associated
4.2.1.19	-0.12921269	9.535921357	0.585957806	0.687774975	Not associated
4.2.1.2	0.17426875	11.45395931	0.267508162	0.365793043	Not associated
4.2.1.20	0.182953278	11.1904804	0.214143519	0.306470227	Not associated
4.2.1.22	0.992171699	9.720760875	0.001933983	0.007217654	Not associated
4.2.1.24	0.121136524	10.1543934	0.495510297	0.601468474	Not associated
4.2.1.25	-4.203279356	6.197562872	6.94E-06	9.10E-05	root
4.2.1.3	0.033226665	12.39064937	0.807300446	0.866293012	Not associated
4.2.1.32	5.904287447	5.384835666	1.22E-10	1.37E-08	soil
4.2.1.33	0.054220028	11.46871835	0.719363329	0.80054354	Not associated
4.2.1.35	0.054125087	11.46868163	0.721349112	0.801433101	Not associated
4.2.1.40	-0.700758653	9.256531138	0.031046616	0.064134524	Not associated
4.2.1.41	-1.26450338	8.539285944	0.001892254	0.007101207	root
4.2.1.42	-1.928335852	8.683771581	3.41E-06	5.23E-05	root
